Date	Time	R_MI
10/10/98	6:00:00	0.2812
10/10/98	7:48:00	0.2896
10/10/98	9:48:00	0.3144
10/10/98	11:48:00	0.2973
10/10/98	13:48:00	0.2673
10/10/98	15:48:00	0.2391
10/10/98	17:48:00	0.2236
10/10/98	19:48:00	0.2108
10/10/98	21:48:00	0.1994
10/10/98	23:48:00	0.1916
10/11/98	1:48:00	0.1867
10/11/98	3:48:00	0.1786
10/11/98	5:48:00	0.1803
10/11/98	7:48:00	0.1813
10/11/98	9:48:00	0.1809
10/11/98	11:48:00	0.1796
10/11/98	13:48:00	0.1739
10/11/98	15:48:00	0.1739
10/11/98	17:48:00	0.1754
10/11/98	19:48:00	0.1765
10/11/98	21:48:00	0.1771
10/11/98	23:48:00	0.1819
10/12/98	1:48:00	0.1792
10/12/98	3:48:00	0.1761
10/12/98	5:48:00	0.1745
10/12/98	7:48:00	0.1739
10/12/98	9:48:00	0.1741
10/12/98	11:48:00	0.1705
10/12/98	13:48:00	0.1692
10/12/98	15:48:00	0.169
10/12/98	17:48:00	0.1692
10/12/98	19:48:00	0.1635
10/12/98	21:48:00	0.1645
10/12/98	23:48:00	0.1679
10/13/98	1:48:00	0.1705
10/13/98	3:48:00	0.172
10/13/98	5:48:00	0.1668
10/13/98	7:48:00	0.1637
10/13/98	9:48:00	0.1656
10/13/98	11:48:00	0.1678
10/13/98	13:48:00	0.1695
10/13/98	15:48:00	0.1827
10/13/98	17:48:00	0.1873
10/13/98	19:48:00	0.182
10/13/98	21:48:00	0.1762
10/13/98	23:48:00	0.1719
10/14/98	1:48:00	0.1922
10/14/98	3:48:00	0.2647
10/14/98	5:48:00	0.3815
10/14/98	7:48:00	0.5329
10/14/98	9:48:00	0.7005
10/14/98	11:48:00	0.8632
10/14/98	13:48:00	1.0148
10/14/98	15:48:00	1.1365
10/14/98	17:48:00	1.227
10/14/98	19:48:00	1.2901
10/14/98	21:48:00	1.3332
10/14/98	23:48:00	1.3562
10/15/98	1:48:00	1.3727
10/15/98	3:48:00	1.3839
10/15/98	5:48:00	1.3912
10/15/98	7:48:00	1.3793
10/15/98	9:48:00	1.3749
10/15/98	11:48:00	1.3835
10/15/98	13:48:00	1.3922
10/15/98	15:48:00	1.3986
10/15/98	17:48:00	1.4036
10/15/98	19:48:00	1.4189
10/15/98	21:48:00	1.4243
10/15/98	23:48:00	1.4254
10/16/98	1:48:00	1.4248
10/16/98	3:48:00	1.4444
10/16/98	5:48:00	1.4261
10/16/98	7:48:00	1.4085
10/16/98	9:48:00	1.3985
10/16/98	11:48:00	1.3941
10/16/98	13:48:00	1.3882
10/16/98	15:48:00	1.3957
10/16/98	17:48:00	1.3996
10/16/98	19:48:00	1.4006
10/16/98	21:48:00	1.3998
10/16/98	23:48:00	1.3458
10/17/98	1:48:00	1.3325
10/17/98	3:48:00	1.3496
10/17/98	5:48:00	1.365
10/17/98	7:48:00	1.3745
10/17/98	9:48:00	1.4323
10/17/98	11:48:00	1.4506
10/17/98	13:48:00	1.4337
10/17/98	15:48:00	1.4183
10/17/98	17:48:00	1.4096
10/17/98	19:48:00	1.3694
10/17/98	21:48:00	1.3636
10/17/98	23:48:00	1.3763
10/18/98	1:48:00	1.3867
10/18/98	3:48:00	1.3923
10/18/98	5:48:00	1.4317
10/18/98	7:48:00	1.436
10/18/98	9:48:00	1.4232
10/18/98	11:48:00	1.4142
10/18/98	13:48:00	1.4104
10/18/98	15:48:00	1.4085
10/18/98	17:48:00	1.4058
10/18/98	19:48:00	1.4028
10/18/98	21:48:00	1.3999
10/18/98	23:48:00	1.3972
10/19/98	1:48:00	1.3264
10/19/98	3:48:00	1.3204
10/19/98	5:48:00	1.351
10/19/98	7:48:00	1.3775
10/19/98	9:48:00	1.3945
10/19/98	11:48:00	1.4764
10/19/98	13:48:00	1.5016
10/19/98	15:48:00	1.4782
10/19/98	17:48:00	1.4561
10/19/98	19:48:00	1.4437
